UNIV_ID,BRANCH,UNIV_NAME,City,Address,State,ZIP,Sector_id
154493009,UIU - Alexandria,Upper Iowa University,Alexandria,"1410 Neel Kearby Blvd., Suite 125",LA,71303,2
154493010,UIU - Prairie du Chien,Upper Iowa University,Prairie du Chien,133 S. Michigan St.,WI,53821,2
154493011,UIU - DeRidder,Upper Iowa University,DeRidder,401 West 1st St.,LA,70634,2
154493012,UIU - Fort Polk,Upper Iowa University,Fort Polk,"7460 Colorado Ave., Bldg. 660, Rm. 104",LA,71459,2
154493013,UIU - Wausau,Upper Iowa University,Wausau,"1000 W. Campus Drive, Rm A222",WI,54401,2
154493014,UIU - Fort Sill,Upper Iowa University,Fort Sill,"4700 Mow-Way Road, Suite 502",OK,73503,2
154493015,UIU - Blackhawk,Upper Iowa University,Janesville,6004 S. County Road G.,WI,535475009,2
154493016,UIU - Elkhorn,Upper Iowa University,Elkhorn,400 County Road H,WI,531212046,2
154493017,UIU - Madison,Upper Iowa University,Madison,3 Point Place,WI,53719,2
154493018,UIU - Milwaukee,Upper Iowa University,Milwaukee,620 S. 76th St. Suite 100,WI,53214,2
154493019,UIU-New Orleans Center,Upper Iowa University,New Orleans,Bldg 2033 Jackson Barracks 6400 St Claude Ave,LA,70117,2
154493020,UIU-Baton Rouge,Upper Iowa University,Baton Rouge,7901 Independence Boulevard,LA,70806,2
154493021,UIU Mesa,Upper Iowa University,Mesa,"1601 W. Main St, Building 15",AZ,85201,2
154493023,Hong Kong,Upper Iowa University,North Point,"3/F, 373 King's Road",,,2
154493025,Subang Jaya,Upper Iowa University,Selangor,"Periaran Kewajipan USJ 1, 47600 UEP Subang Jaya",,,2
154493026,Kota Damansara,Upper Iowa University,Kota Damansara,"9 Jalan Teknologi, Taman Sains Selangor, PJU 5",,47810,2
154493027,Sarawak,Upper Iowa University,Sarawak,"211 Jalan Bukit Mata Kuching, 93100 Kuching",,,2
154493028,Penang,Upper Iowa University,Penang,"Wisma Greenhall, 43, Green Hall 10200",,,2
154493029,Kuala Lampur,Upper Iowa University,Kuala Lumpur,"33-35, Jalan Hang Lekiu, 50100",,,2
